Lake,status,Diversity
Acid,Acidic,2.00
Clearsilver,Acidic,4.65
David,Acidic,4.09
deLamorandiere,Acidic,1.11
Freeland,Acidic,2.06
Gail,Acidic,1.02
Killarney,Acidic,2.57
Little Mountain,Acidic,1.03
Little Superior,Acidic,1.00
Lumsden,Acidic,1.75
Muriel,Acidic,4.40
Nellie,Acidic,1.04
Norway,Acidic,1.23
O.S.A.,Acidic,2.02
Proulx,Acidic,1.02
Roque,Acidic,1.01
Ruth-Roy,Acidic,2.55
Shingwak,Acidic,1.03
Solomon,Acidic,1.01
Terry ,Acidic,4.44
Turbid,Acidic,3.46
Whiskeyjack,Acidic,1.01
A.Y. Jackson,Recovered,4.55
Bell,Recovered,5.80
Boundary,Recovered,3.50
Carlyle,Recovered,3.16
Evangeline,Recovered,8.93
Fish,Recovered,2.79
Frood,Recovered,7.12
George,Recovered,4.68
Great Mountain,Recovered,4.00
Johnnie,Recovered,3.39
Kakakise,Recovered,4.03
Little Sheguindah,Recovered,2.17
Logboom,Recovered,1.11
Partridge,Recovered,3.60
Threenarrows,Recovered,8.47
Bodina,Neutral,3.97
Charlton,Neutral,7.22
Gem,Neutral,6.70
Helen,Neutral,4.89
Howry,Neutral,5.99
Ishmael,Neutral,8.00
La Cloche,Neutral,5.61
Low,Neutral,2.99
